condition name,,,,
Caries (Decay),Cond,,,
Fractured Tooth,Cond,,,
Abscess,Cond,,,
Tooth Mobility,Cond,,,
Impacted Tooth,Cond,,,
Root Resorption,Cond,,,
Periapical Lesion,Cond,,,
Failed Root Canal,Cond,,,
Failed Crown/Bridge,Cond,,,
Amalgam Filling,Cond,,,
Composite Filling,Cond,,,
"Crown (Gold, Porcelain, Zirconia)",Cond,,,
Bridge (Fixed Dental Prosthesis),Cond,,,
Root Canal Treated Tooth,Cond,,,
Dental Implant,Cond,,,
Denture Partial / Full,Cond,,,
Sealant,Cond,,,
Existing Midline Implant,Cond,,,
Existing Abutment,Cond,,,
Enamel Hypoplasia,Cond,,,
Demineralization (Early Decay),Cond,,,
Worn Dentition (Attrition/Erosion),Cond,,,
Craze Lines (Microfractures),Cond,,,
Food Trap (Open Contact),Cond,,,
Marginal Breakdown of Restoration,Cond,,,
Gingivitis,Cond,,,
Periodontal Pockets (Mild-Severe),Cond,,,
Receding Gums,Cond,,,
Bone Loss,Cond,,,
Furcation Involvement,Cond,,,
Extracted Tooth,Cond,,,
Congenitally Missing Tooth,Cond,,,
